Date,Close
2018-10-26,51.67
2018-10-27,51.49
2018-10-28,51.54
2018-10-29,48.54
2018-10-30,48.96
2018-10-31,49.37
2018-11-01,50.19
2018-11-02,50.99
2018-11-03,50.57
2018-11-04,54.02
2018-11-05,53.49
2018-11-06,55.91
2018-11-07,53.87
2018-11-08,52.0
2018-11-09,51.69
2018-11-10,51.69
2018-11-11,50.65
2018-11-12,50.28
2018-11-13,48.89
2018-11-14,42.68
2018-11-15,43.28
2018-11-16,41.82
2018-11-17,41.59
2018-11-18,41.83
2018-11-19,35.81
2018-11-20,32.3
2018-11-21,34.29
2018-11-22,31.3
2018-11-23,31.77
2018-11-24,28.59
2018-11-25,30.43
2018-11-26,29.09
2018-11-27,30.81
2018-11-28,34.32
2018-11-29,33.55
2018-11-30,31.66
2018-12-01,33.66
2018-12-02,33.27
2018-12-03,30.51
2018-12-04,30.7
2018-12-05,28.76
2018-12-06,26.33
2018-12-07,24.81
2018-12-08,24.12
2018-12-09,25.29
2018-12-10,24.01
2018-12-11,23.22
2018-12-12,23.99
2018-12-13,22.82
2018-12-14,23.07
2018-12-15,23.46
2018-12-16,25.2
2018-12-17,28.91
2018-12-18,30.08
2018-12-19,29.07
2018-12-20,32.35
2018-12-21,30.2
2018-12-22,31.59
2018-12-23,33.11
2018-12-24,32.84
2018-12-25,30.73
2018-12-26,30.54
2018-12-27,27.71
2018-12-28,32.25
2018-12-29,30.51
2018-12-30,31.52
2018-12-31,29.9
2019-01-01,31.44
2019-01-02,33.0
2019-01-03,31.64
2019-01-04,32.21
2019-01-05,34.45
2019-01-06,38.97
2019-01-07,37.61
2019-01-08,39.16
2019-01-09,38.51
2019-01-10,33.27
2019-01-11,31.65
2019-01-12,32.1
2019-01-13,29.89
2019-01-14,32.0
2019-01-15,31.09
2019-01-16,31.42
2019-01-17,31.61
2019-01-18,30.92
2019-01-19,32.19
2019-01-20,30.6
2019-01-21,30.89
2019-01-22,31.53
2019-01-23,31.62
2019-01-24,32.48
2019-01-25,32.75
2019-01-26,32.76
2019-01-27,32.08
2019-01-28,30.87
2019-01-29,30.75
2019-01-30,31.61
2019-01-31,31.26
2019-02-01,32.28
2019-02-02,34.15
2019-02-03,33.0
2019-02-04,33.69
2019-02-05,33.9
2019-02-06,32.49
2019-02-07,32.75
2019-02-08,42.77
2019-02-09,44.19
2019-02-10,46.3
2019-02-11,42.48
2019-02-12,43.29
2019-02-13,41.2
2019-02-14,40.93
2019-02-15,42.15
2019-02-16,42.93
2019-02-17,43.49
2019-02-18,47.32
2019-02-19,46.89
2019-02-20,51.03
2019-02-21,48.49
2019-02-22,49.09
2019-02-23,51.25
2019-02-24,43.64
2019-02-25,45.33
2019-02-26,44.62
2019-02-27,44.87
2019-02-28,45.52
2019-03-01,46.92
2019-03-02,48.36
2019-03-03,47.65
2019-03-04,45.72
2019-03-05,52.31
2019-03-06,55.32
2019-03-07,56.54
2019-03-08,55.29
2019-03-09,57.54
2019-03-10,56.28
2019-03-11,54.63
2019-03-12,56.27
2019-03-13,55.33
2019-03-14,55.71
2019-03-15,58.19
2019-03-16,60.92
2019-03-17,60.24
2019-03-18,58.97
2019-03-19,59.22
2019-03-20,60.11
2019-03-21,58.6
2019-03-22,59.3
2019-03-23,60.38
2019-03-24,59.57
2019-03-25,58.67
2019-03-26,58.33
2019-03-27,61.25
2019-03-28,60.18
2019-03-29,61.16
2019-03-30,60.2
2019-03-31,60.41
2019-04-01,60.43
2019-04-02,77.57
2019-04-03,85.67
2019-04-04,84.67
2019-04-05,88.6
2019-04-06,92.65
2019-04-07,91.82
2019-04-08,89.64
2019-04-09,86.95
2019-04-10,88.09
2019-04-11,79.44
2019-04-12,79.09
2019-04-13,77.97
2019-04-14,83.71
2019-04-15,78.35
2019-04-16,81.08
2019-04-17,79.27
2019-04-18,82.08
2019-04-19,82.45
2019-04-20,81.47
2019-04-21,77.51
2019-04-22,76.8
2019-04-23,74.16
2019-04-24,73.11
2019-04-25,70.75
2019-04-26,71.7
2019-04-27,70.27
2019-04-28,67.64
2019-04-29,66.5
2019-04-30,73.17
2019-05-01,72.53
2019-05-02,72.45
2019-05-03,77.75
2019-05-04,77.31
2019-05-05,74.75
2019-05-06,74.25
2019-05-07,73.25
2019-05-08,73.69
2019-05-09,73.95
2019-05-10,76.76
2019-05-11,87.88
2019-05-12,84.71
2019-05-13,87.87
2019-05-14,91.49
2019-05-15,102.15
2019-05-16,95.68
2019-05-17,89.85
2019-05-18,86.93
2019-05-19,95.0
2019-05-20,91.55
2019-05-21,91.43
2019-05-22,87.71
2019-05-23,88.98
2019-05-24,100.61
2019-05-25,103.1
2019-05-26,112.75
2019-05-27,116.39
2019-05-28,114.88
2019-05-29,115.21
2019-05-30,108.17
2019-05-31,114.21
2019-06-01,112.27
2019-06-02,114.78
2019-06-03,110.78
2019-06-04,102.0
2019-06-05,104.0
2019-06-06,111.35
2019-06-07,117.15
2019-06-08,118.51
2019-06-09,115.07
2019-06-10,129.92
2019-06-11,136.29
2019-06-12,135.97
2019-06-13,130.94
2019-06-14,132.9
2019-06-15,138.06
2019-06-16,136.79
2019-06-17,134.0
2019-06-18,135.0
2019-06-19,136.62
2019-06-20,135.52
2019-06-21,138.88
2019-06-22,141.46
2019-06-23,136.44
2019-06-24,135.22
2019-06-25,133.11
2019-06-26,130.53
2019-06-27,113.95
2019-06-28,119.33
2019-06-29,133.36
2019-06-30,122.01
2019-07-01,122.49
2019-07-02,118.62
2019-07-03,121.82
2019-07-04,119.55
2019-07-05,118.6
2019-07-06,118.15
2019-07-07,120.11
2019-07-08,123.37
2019-07-09,119.29
2019-07-10,108.31
2019-07-11,103.27
2019-07-12,105.14
2019-07-13,101.11
2019-07-14,89.73
2019-07-15,90.61
2019-07-16,79.59
2019-07-17,90.35
2019-07-18,101.2
2019-07-19,98.8
2019-07-20,100.5
2019-07-21,99.8
2019-07-22,95.21
2019-07-23,89.77
2019-07-24,94.43
2019-07-25,93.42
2019-07-26,94.1
2019-07-27,88.81
2019-07-28,90.06
2019-07-29,90.28
2019-07-30,90.36
2019-07-31,98.78
2019-08-01,98.99
2019-08-02,94.7
2019-08-03,94.31
2019-08-04,93.08
2019-08-05,96.18
2019-08-06,93.12
2019-08-07,90.6
2019-08-08,89.99
2019-08-09,84.24
2019-08-10,85.15
2019-08-11,89.85
2019-08-12,85.67
2019-08-13,84.35
2019-08-14,75.62
2019-08-15,76.19
2019-08-16,74.99
2019-08-17,72.78
2019-08-18,76.2
2019-08-19,77.19
2019-08-20,75.11
2019-08-21,73.06
2019-08-22,73.56
2019-08-23,75.56
2019-08-24,73.28
2019-08-25,72.15
2019-08-26,73.43
2019-08-27,72.82
2019-08-28,66.72
2019-08-29,63.41
2019-08-30,64.15
2019-08-31,64.41
2019-09-01,66.15
2019-09-02,67.14
2019-09-03,69.0
2019-09-04,67.16
2019-09-05,65.37
2019-09-06,65.02
2019-09-07,68.81
2019-09-08,70.55
2019-09-09,70.11
2019-09-10,70.84
2019-09-11,69.79
2019-09-12,69.21
2019-09-13,68.83
2019-09-14,70.64
2019-09-15,70.05
2019-09-16,72.76
2019-09-17,74.16
2019-09-18,77.6
2019-09-19,76.92
2019-09-20,75.02
2019-09-21,73.24
2019-09-22,72.48
2019-09-23,66.47
2019-09-24,54.66
2019-09-25,57.47
2019-09-26,55.03
2019-09-27,56.06
2019-09-28,55.33
2019-09-29,53.87
2019-09-30,56.15
2019-10-01,55.71
2019-10-02,56.42
2019-10-03,56.37
2019-10-04,56.57
2019-10-05,56.93
2019-10-06,54.51
2019-10-07,57.61
2019-10-08,57.05
2019-10-09,59.24
2019-10-10,57.68
2019-10-11,55.77
2019-10-12,55.78
2019-10-13,56.59
2019-10-14,56.83
2019-10-15,54.63
2019-10-16,52.48
2019-10-17,54.89
2019-10-18,53.31
2019-10-19,53.74
2019-10-20,54.9
2019-10-21,54.73
2019-10-22,53.45
2019-10-23,49.52
2019-10-24,49.68
2019-10-25,56.77
2019-10-26,56.83
2019-10-27,59.95
2019-10-28,57.92
2019-10-29,59.82
2019-10-30,57.92
2019-10-31,58.5
2019-11-01,58.43
2019-11-02,58.41
2019-11-03,58.45
2019-11-04,61.45
2019-11-05,63.11
2019-11-06,64.21
2019-11-07,61.33
2019-11-08,60.22
2019-11-09,62.05
2019-11-10,63.73
2019-11-11,61.6
2019-11-12,61.16
2019-11-13,60.86
2019-11-14,58.84
2019-11-15,57.38
2019-11-16,58.38
2019-11-17,59.14
2019-11-18,55.77
2019-11-19,55.08
2019-11-20,54.87
2019-11-21,50.59
2019-11-22,47.52
2019-11-23,48.31
2019-11-24,44.0
2019-11-25,45.79
2019-11-26,47.0
2019-11-27,47.78
2019-11-28,46.93
2019-11-29,48.73
2019-11-30,47.37
2019-12-01,47.54
2019-12-02,45.55
2019-12-03,44.82
2019-12-04,44.71
2019-12-05,44.82
2019-12-06,45.48
2019-12-07,45.19
2019-12-08,45.62
2019-12-09,44.47
2019-12-10,44.12
2019-12-11,43.63
2019-12-12,43.62
2019-12-13,44.4
2019-12-14,43.22
2019-12-15,43.4
2019-12-16,39.85
2019-12-17,36.88
2019-12-18,40.93
2019-12-19,39.55
2019-12-21,39.64
2019-12-22,41.99
2019-12-23,40.66
2019-12-24,40.31
2019-12-25,40.04
2019-12-26,39.85
2019-12-27,40.94
2019-12-28,42.69
2019-12-29,43.06
2019-12-30,42.26
2019-12-31,41.09
2020-01-01,41.39
2020-01-02,39.28
2020-01-03,42.15
2020-01-04,42.79
2020-01-05,43.25
2020-01-06,45.82
2020-01-07,46.39
2020-01-08,45.32
2020-01-09,44.88
2020-01-10,49.22
2020-01-11,49.34
2020-01-12,51.33
2020-01-13,49.51
2020-01-14,58.61
2020-01-15,58.01
2020-01-16,57.72
2020-01-17,61.08
2020-01-18,59.18
2020-01-19,57.65
2020-01-20,57.25
2020-01-21,57.68
2020-01-22,58.06
2020-01-23,54.38
2020-01-24,54.15
2020-01-25,53.29
2020-01-26,56.22
2020-01-27,58.57
2020-01-28,60.76
2020-01-29,59.87
2020-01-30,68.04
2020-01-31,67.83
2020-02-01,70.71
2020-02-02,69.67
2020-02-03,69.58
2020-02-04,67.84
2020-02-05,72.62
2020-02-06,73.38
2020-02-07,74.34
2020-02-08,76.79
2020-02-09,77.13
2020-02-10,74.27
2020-02-11,77.0
2020-02-12,81.25
2020-02-13,80.49
2020-02-14,83.25
2020-02-15,76.53
2020-02-16,74.99
2020-02-17,73.4
2020-02-18,77.3
2020-02-19,70.61
2020-02-20,69.68
2020-02-21,73.44
2020-02-22,75.09
2020-02-23,79.77
2020-02-24,75.63
2020-02-25,70.73
2020-02-26,60.56
2020-02-27,61.59
2020-02-28,60.02
2020-02-29,58.13
2020-03-01,57.9
2020-03-02,61.38
2020-03-03,60.87
2020-03-04,60.28
2020-03-05,61.86
2020-03-06,63.29
2020-03-07,60.51
2020-03-08,51.09
2020-03-09,50.46
2020-03-10,50.14
2020-03-11,48.6
2020-03-12,30.76
2020-03-13,37.9
2020-03-14,34.35
2020-03-15,36.3
2020-03-16,33.47
2020-03-17,34.45
2020-03-18,34.64
2020-03-19,39.05
2020-03-20,38.12
2020-03-21,38.42
2020-03-22,35.41
2020-03-23,39.08
2020-03-24,40.72
2020-03-25,39.25
2020-03-26,40.61
2020-03-27,38.17
2020-03-28,38.97
2020-03-29,37.1
2020-03-30,39.09
2020-03-31,39.35
2020-04-01,39.3
2020-04-02,39.83
2020-04-03,40.62
2020-04-04,40.8
2020-04-05,40.47
2020-04-06,45.1
2020-04-07,44.8
2020-04-08,46.57
2020-04-09,46.34
2020-04-10,42.16
2020-04-11,42.68
2020-04-12,42.0
2020-04-13,41.29
2020-04-14,41.25
2020-04-15,39.31
2020-04-16,42.34
2020-04-17,42.35
2020-04-18,44.25
2020-04-19,42.32
2020-04-20,40.25
2020-04-21,40.65
2020-04-22,41.81
2020-04-23,42.9
2020-04-24,44.51
2020-04-25,44.34
2020-04-26,44.65
2020-04-27,44.59
2020-04-28,45.8
2020-04-29,48.78
2020-04-30,46.26
2020-05-01,47.04
2020-05-02,49.24
2020-05-03,48.1
2020-05-04,47.12
2020-05-05,46.64
2020-05-06,45.0
2020-05-07,47.47
2020-05-08,47.72
2020-05-09,47.0
2020-05-10,42.19
2020-05-11,41.73
2020-05-12,42.19
2020-05-13,43.26
2020-05-14,44.06
2020-05-15,42.78
2020-05-16,43.22
2020-05-17,43.68
2020-05-18,45.32
2020-05-19,45.78
2020-05-20,44.17
2020-05-21,42.67
2020-05-22,44.17
2020-05-23,43.9
2020-05-24,42.1
2020-05-25,42.95
2020-05-26,42.3
2020-05-27,43.88
2020-05-28,44.78
2020-05-29,44.52
2020-05-30,47.76
2020-05-31,45.57
2020-06-01,48.29
2020-06-02,46.05
2020-06-03,47.12
2020-06-04,47.47
2020-06-05,46.84
2020-06-06,46.79
2020-06-07,46.55
2020-06-08,46.48
2020-06-09,45.92
2020-06-10,46.62
2020-06-11,43.17
2020-06-12,44.69
2020-06-13,45.11
2020-06-14,43.99
2020-06-15,43.85
2020-06-16,43.79
2020-06-17,44.06
2020-06-18,43.44
2020-06-19,42.87
2020-06-20,43.58
2020-06-21,42.94
2020-06-22,44.35
2020-06-23,44.15
2020-06-24,42.63
2020-06-25,42.32
2020-06-26,43.08
2020-06-27,41.04
2020-06-28,41.37
2020-06-29,41.9
2020-06-30,41.22
2020-07-01,41.83
2020-07-02,41.06
2020-07-03,41.19
2020-07-04,42.08
2020-07-05,41.63
2020-07-06,44.07
2020-07-07,43.41
2020-07-08,45.34
2020-07-09,44.4
2020-07-10,44.32
2020-07-11,44.74
2020-07-12,44.66
2020-07-13,43.91
2020-07-14,43.88
2020-07-15,43.27
2020-07-16,42.08
2020-07-17,41.86
2020-07-18,42.46
2020-07-19,42.67
2020-07-20,41.98
2020-07-21,43.81
2020-07-22,45.09
2020-07-23,45.0
2020-07-24,44.21
2020-07-25,49.16
2020-07-26,48.09
2020-07-27,53.36
2020-07-28,55.91
2020-07-29,55.22
2020-07-30,56.8
2020-07-31,58.2
2020-08-01,61.68
2020-08-02,56.85
2020-08-03,58.55
2020-08-04,57.64
2020-08-05,58.91
2020-08-06,59.07
2020-08-07,57.24
2020-08-08,58.5
2020-08-09,57.0
2020-08-10,58.4
2020-08-11,54.15
2020-08-12,54.52
2020-08-13,57.08
2020-08-14,56.72
2020-08-15,59.97
2020-08-16,63.87
2020-08-17,67.31
2020-08-18,65.53
2020-08-19,62.14
2020-08-20,62.92
2020-08-21,59.12
2020-08-22,60.26
2020-08-23,60.56
2020-08-24,62.16
2020-08-25,58.62
2020-08-26,58.14
2020-08-27,56.09
2020-08-28,57.4
2020-08-29,56.99
2020-08-30,62.88
2020-08-31,60.96
2020-09-01,62.69
2020-09-02,58.12
2020-09-03,47.55
2020-09-04,50.54
2020-09-05,47.45
2020-09-06,47.95
2020-09-07,48.82
2020-09-08,47.42
2020-09-09,47.83
2020-09-10,48.73
2020-09-11,48.99
2020-09-12,50.86
2020-09-13,48.11
2020-09-14,49.1
2020-09-15,48.32
2020-09-16,47.74
2020-09-17,48.88
2020-09-18,48.45
2020-09-19,48.58
2020-09-20,47.11
2020-09-21,43.18
2020-09-22,44.45
2020-09-23,42.92
2020-09-24,44.97
2020-09-25,45.9
2020-09-26,46.03
2020-09-27,46.02
2020-09-28,45.26
2020-09-29,45.71
2020-09-30,46.21
2020-10-01,46.27
2020-10-02,44.94
2020-10-03,45.53
2020-10-04,46.71
2020-10-05,46.37
2020-10-06,46.01
2020-10-07,46.62
2020-10-08,45.89
2020-10-09,47.64
2020-10-10,48.8
2020-10-11,50.55
2020-10-12,50.67
2020-10-13,49.87
2020-10-14,49.84
2020-10-15,49.47
2020-10-16,47.59
2020-10-17,46.89
2020-10-18,47.6
2020-10-19,48.01
2020-10-20,46.89
2020-10-21,53.24
2020-10-22,54.54
2020-10-23,55.43
2020-10-24,59.26
2020-10-25,58.84
2020-10-26,56.92
2020-10-27,57.95
2020-10-28,55.95
2020-10-29,54.91
2020-10-30,54.07
2020-10-31,55.74
2020-11-01,55.6
2020-11-02,53.92
2020-11-03,53.92
2020-11-04,54.72
2020-11-05,58.96
2020-11-06,63.39
2020-11-07,59.0
2020-11-08,61.06
2020-11-09,59.28
2020-11-10,57.92
2020-11-11,59.29
2020-11-12,60.74
2020-11-13,65.85
2020-11-14,63.99
2020-11-15,62.36
2020-11-16,73.89
2020-11-17,76.44
2020-11-18,73.82
2020-11-19,81.66
2020-11-20,82.52
2020-11-21,87.2
2020-11-22,82.94
2020-11-23,89.22
2020-11-24,89.33
2020-11-25,81.72
2020-11-26,71.0
2020-11-27,69.09
2020-11-28,72.55
2020-11-29,78.98
2020-11-30,87.66
2020-12-01,85.22
2020-12-02,89.06
2020-12-03,89.14
2020-12-04,80.05
2020-12-05,83.18
2020-12-06,83.83
2020-12-07,83.5
2020-12-08,76.8
2020-12-09,77.44
2020-12-10,74.78
2020-12-11,72.24
2020-12-12,76.58
2020-12-13,82.08
2020-12-14,82.48
2020-12-15,81.85
2020-12-16,82.33
2020-12-17,101.07
2020-12-18,109.33
2020-12-19,119.95
2020-12-20,114.81
2020-12-21,104.62
2020-12-22,114.5
2020-12-23,102.6
2020-12-24,111.83
2020-12-25,127.29
2020-12-26,129.5
2020-12-27,127.83
2020-12-28,129.73
2020-12-29,128.84
2020-12-30,130.15
2020-12-31,124.36
2021-01-01,126.32
2021-01-02,136.88
2021-01-03,160.8
2021-01-04,155.06
2021-01-05,158.8
2021-01-06,169.65
2021-01-07,169.94
2021-01-08,172.52
2021-01-09,177.96
2021-01-10,170.7
2021-01-11,138.93
2021-01-12,138.75
2021-01-13,147.79
2021-01-14,152.78
2021-01-15,149.54
2021-01-16,143.87
2021-01-17,142.63
2021-01-18,151.63
2021-01-19,151.89
2021-01-20,149.93
2021-01-21,130.08
2021-01-22,138.17
2021-01-23,137.77
2021-01-24,141.22
2021-01-25,137.18
2021-01-26,134.75
2021-01-27,122.95
2021-01-28,130.44
2021-01-29,134.93
2021-01-30,133.32
2021-01-31,129.7
2021-02-01,132.03
2021-02-02,140.0
2021-02-03,156.5
2021-02-04,145.4
2021-02-05,155.18
2021-02-06,155.53
2021-02-07,151.19
2021-02-08,167.65
2021-02-09,181.91
2021-02-10,181.8
2021-02-11,184.04
2021-02-12,196.98
2021-02-13,226.5
2021-02-14,213.69
2021-02-15,208.65
2021-02-16,210.49
2021-02-17,237.41
2021-02-18,226.6
2021-02-19,236.82
2021-02-20,227.37
2021-02-21,227.68
2021-02-22,208.26
2021-02-23,177.5
2021-02-24,181.94
2021-02-25,179.25
2021-02-26,170.31
2021-02-27,172.15
2021-02-28,165.01
2021-03-01,176.11
2021-03-02,178.37
2021-03-03,187.7
2021-03-04,180.78
2021-03-05,180.98
2021-03-06,182.62
2021-03-07,190.61
2021-03-08,191.55
2021-03-09,204.0
2021-03-10,200.36
2021-03-11,201.41
2021-03-12,220.7
2021-03-13,226.33
2021-03-14,213.92
2021-03-15,200.81
